listing_id,description,room_type
189787,Spacious & Comfy BK Brownstone,Entire home/apt
190267,Large Luxury Upper East Side Studio,entire home/apt
190542,Chateau Style Brooklyn Loft for Singles or Couples,Entire home/apt
190968,Lovely Brooklyn Brownstone 1BR!,Entire home/apt
190974,Beautiful Grdn. Apt. in Park Slope,Entire home/apt
191075,Sun-drenched East Village Penthouse,private room
193105,Columbus Circle Luxury Bldg - Private Room&Bath,PRIVATE ROOM
193393,"Spacious, Kid-Friendly, and 15-20 Mins. to Midtown",Private room
195123,"Cheerful, comfortable room",PRIVATE ROOM
195233,Hospitality on Propsect Pk-12 yrs Hosting Legally!,private room
195240,"Prospect Pk*NYC in 5 stops* Cozy,Clean & Legal!",PRIVATE ROOM
195971,2 Beds over Bed-Stuy,Entire home/apt
195989,"Sunny, Large, Park Slope Bedroom",Private room
197155,Quiet Jr Alcove Near Times Square!,Entire home/apt
197753,Large room in elevator drman bldg,private room
197942,"Comfy, Cozy, Brooklyn close to Manhattan",Entire home/apt
199195,Modern Bedroom in Hamilton Heights,PRIVATE ROOM
199312,Sunny Space in Williamsburg,Private room
201992,Serene Park Slope Garden Apartment,Entire home/apt
204065,St. James Pl Garden Studio 1block to PRATT &Gtrain,entire home/apt
204959,Comfortable. Spacious. Private Room.,Private room
205043,Modern Condo in Midtown,private room
205485,Ideal Brooklyn Brownstone Apartment,entire home/apt
205735,"A Cozy Oasis in Bushwick, NY",Private room
205867,Private Entrance - Private Parking,Entire home/apt
206071,Yankee Stadium Oasis 2 stops to Manhattan!,Private room
206772,Williamsburg Exposed Brick Loft,Entire home/apt
208889,Welcome to Brooklyn! Bed-Stuy,ENTIRE HOME/APT
209310,Sunnyside NYC/ AC room/ city views/ near Midtown,private room
211974,East Village House -- Unique!,entire home/apt
212109,2-bedroom share in heart of Greenwich Village!,Private room
212178,1 Bedroom Pre War apt,entire home/apt
213272,CreaTive Live-In Artspace/Birdsnest,private room
215560,"Sunny, calm room in Victorian home",Private room
215784,Modern Unique Studio in NYC,Entire home/apt
215907,"2 Bed, 2 Bath Apartment on Central Park West",Entire home/apt
218358,Your Haven in the Upper West Side,PRIVATE ROOM
219066,"Wonderful Studio In Brooklyn, NY!!!",Entire home/apt
219922,"Lovely Bdr in Harlem, Manhattan",PRIVATE ROOM
220351,THE BEST DEAL ON THE HUDSON RIVER!!,Private room
220946,Newly Reno’d Chic Quiet Exec 1BR,entire home/apt
221097,Large Artist Floorthru- Greenpoint,Entire home/apt
221618,Gorgeous PermaGO Private Room in FiDi - 1/2,Private room
222304,BEST DEAL IN CHELSEA 1 bdrm NYC,Entire home/apt
223930,Lovely Apartment,Entire home/apt
225306,Charming room in Victorian home,PRIVATE ROOM
225887,Brooklyn B & B close to Manhattan,Private room
225926,The Notorious B.N.B. { The Erhart },Private room
225976,Sunny cozy multileveled apartment!,entire home/apt
226021,Sunny 2 bedroom Williamsburg Duplex w/ 3 beds,Entire home/apt
227715,ROOM WITH KITCHENETTE #2,Entire home/apt
227735,Alpha-Bet City entire floor large cool 2br -L.E.S,Entire home/apt
228317,"Your Haven Awaits At ""Emma's Place""",entire home/apt
228496,"Spacious, Kid-Friendly 2 BR in West Village",ENTIRE HOME/APT
228517,Great Bedroom in Downtown Manhattan,Private room
228925,Beautiful Brownstone,Entire home/apt
229367,COMFY ROOM/COFFEE AND BAGEL/WEEKLY DISCOUNT,Private room
230321,Apt with EmpireState view-Subway around the corner,ENTIRE HOME/APT
230854,Zen Yankee Stadium Pad 5 Minutes To Manhattan!,PRIVATE ROOM
230877,Monthly Apartment Rental,Entire home/apt
232612,"Lovely pied-à-terre, in an historic building",Entire home/apt
232618,"Spacious, well furnished, high fl. beautiful views",Entire home/apt
233189,NYC Studio in Heart of Times Square,Entire home/apt
233662,Large Sunny Luxe Prvt Room/Midtown,Private room
234184,Spacious Stunning Harlem Townhouse,entire home/apt
235552,HUGE Sunny Duplex Loft with Garden,entire home/apt
235651,LARGE ARTSY Room w/ Loft Bed 4 DOOGLERS!,Private room
235951,Stylish Studio with exclusive Terrace,ENTIRE HOME/APT
236671,"Williamsburg Garden Home, 5 minutes from Manhattan",entire home/apt
236788,"HUGE, modern 2-LEVEL Brooklyn apt",entire home/apt
237127,LOCATION LOCATION LOCATION Liz's,Entire home/apt
239733,Astoria Garden Suite,entire home/apt
239883,Private Room in Fort Green BK close to city,Private room
240800,Private Room Near Brooklyn Museum,Private room
241140,The Notorious B.N.B. { The Wallace },Private room
241159,Clinton Hill 1 Bed Bright Loft Apartment,Entire home/apt
241862,Great Studio in W. Village - NYC!,Entire home/apt
242532,The Notorious B.N.B. { The Swoon },PRIVATE ROOM
242643,"BIG 1br, SLEEPS 4, dishwashr, TV",Entire home/apt
243708,Williamsburg  - Quiet and Comfy stay,Entire home/apt
245504,One Fabulous Private Room,private room
245544,NY/ Big Room for 2 near Manhattan,Private room
245574,Brooklyn Brownstone apartment,ENTIRE HOME/APT
245607,big 1 bedroom apt very central,Entire home/apt
